DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS
2019-03-05,8,1,311,32,12,3,1,194
2019-03-06,5,1,437,33,14,2,1,198
2019-03-07,6,1,322,34,12,3,1,203
2019-03-08,6,1,313,26,14,2,1,208
2019-03-09,7,1,532,54,18,3,1,214
2019-03-10,6,1,562,42,22,3,1,219
2019-03-11,8,1,376,33,16,3,1,226
2019-03-12,7,1,377,37,17,3,1,232
2019-03-13,7,1,396,37,16,3,1,238
2019-03-14,7,1,366,28,16,3,1,244
2019-03-15,7,1,403,33,16,3,1,250
2019-03-16,8,1,696,43,21,3,1,257
2019-03-17,7,2,644,54,22,3,1,262
2019-03-18,7,1,422,34,15,4,1,268
2019-03-19,8,1,398,32,19,3,1,275
2019-03-20,7,2,449,31,16,3,1,280
2019-03-21,8,1,420,36,18,4,1,287
2019-03-22,9,1,415,40,18,3,2,295
2019-03-23,7,2,755,40,25,2,1,300
2019-03-24,7,1,657,66,28,3,1,306
2019-03-25,7,1,436,35,17,4,1,312
2019-03-26,9,1,479,39,16,4,2,320
2019-03-27,7,1,478,43,16,4,1,326
2019-03-28,8,2,526,30,21,3,2,332
2019-03-29,7,1,383,45,21,4,2,338
2019-03-30,9,2,640,55,28,4,2,345
2019-03-31,9,2,809,70,33,4,2,352
2019-04-01,8,2,445,43,17,4,2,358
2019-04-02,10,2,520,47,18,4,2,366
2019-04-03,10,2,512,45,21,4,1,374
2019-04-04,9,2,523,49,21,4,2,381
2019-04-05,11,2,453,43,22,3,2,390
2019-04-06,10,2,782,45,30,3,2,398
2019-04-07,11,2,1057,75,30,4,2,407
2019-04-08,10,2,556,52,21,2,2,415
2019-04-09,10,1,631,43,20,3,1,424
2019-04-10,9,2,512,41,18,5,2,431
2019-04-11,10,1,564,40,23,4,2,440
2019-04-12,9,2,502,49,27,4,2,447
2019-04-13,9,2,676,73,33,4,2,454
2019-04-14,10,2,901,64,30,3,2,462
2019-04-15,8,1,577,46,29,4,2,469
2019-04-16,12,2,489,44,23,4,2,479
2019-04-17,10,2,674,43,25,4,2,487
2019-04-18,8,2,514,48,27,5,2,493
2019-04-19,9,2,568,51,26,5,2,500
2019-04-20,10,2,921,70,37,5,2,508
2019-04-21,10,2,904,66,34,4,2,516
2019-04-22,11,2,584,42,23,4,2,525
2019-04-23,10,2,615,48,27,4,2,533
2019-04-24,12,2,518,58,24,5,2,543
2019-04-25,11,2,501,51,20,5,2,552
2019-04-26,10,2,618,55,28,6,2,560
2019-04-27,10,2,1085,73,42,4,2,568
2019-04-28,11,2,945,75,46,4,2,577
2019-04-29,11,3,639,57,28,5,2,585
2019-04-30,11,2,666,59,20,4,3,594
2019-05-01,9,2,592,50,27,5,2,601
2019-05-02,11,2,632,52,24,5,3,610
2019-05-03,10,3,751,48,24,5,2,617
2019-05-04,14,2,850,78,40,5,2,629
2019-05-05,12,2,967,103,46,5,2,639
2019-05-06,12,3,664,56,26,5,2,648
2019-05-07,10,2,738,47,29,5,2,656
2019-05-08,10,3,710,60,32,5,2,663
2019-05-09,13,3,577,60,35,5,2,673
2019-05-10,13,2,753,63,27,6,3,684
2019-05-11,11,2,1125,84,42,6,2,693
2019-05-12,12,2,1040,88,37,5,3,703
2019-05-13,14,3,592,53,29,5,2,714
2019-05-14,12,2,751,62,35,6,3,724
2019-05-15,11,2,677,59,28,7,2,733
2019-05-16,12,3,744,51,25,6,2,742
2019-05-17,12,3,735,73,30,6,3,751
2019-05-18,13,2,1158,96,45,6,3,762
2019-05-19,13,3,1104,84,48,6,3,772
2019-05-20,12,3,590,70,29,6,3,781
2019-05-21,13,3,711,62,25,6,3,791
2019-05-22,14,2,667,70,35,6,3,803
2019-05-23,14,3,821,61,32,6,3,814
2019-05-24,12,3,835,66,30,7,3,823
2019-05-25,14,2,1162,70,48,6,2,835
2019-05-26,12,3,1006,102,42,6,3,844
2019-05-27,16,3,695,67,38,7,3,857
2019-05-28,14,3,701,61,34,7,3,868
2019-05-29,14,3,648,73,36,7,3,879
2019-05-30,13,3,770,69,36,6,3,889
2019-05-31,17,3,841,74,37,6,3,903
2019-06-01,15,2,1073,111,39,7,3,916
2019-06-02,14,3,991,96,54,6,3,927
2019-06-03,13,3,745,76,34,5,3,937
2019-06-04,16,3,794,74,40,8,2,950
2019-06-05,14,4,680,66,34,5,3,960
2019-06-06,14,3,736,71,35,7,3,971
2019-06-07,14,3,819,81,43,6,3,982
2019-06-08,17,3,955,100,43,8,3,996
2019-06-09,14,3,1169,114,55,7,4,1007
2019-06-10,14,2,720,73,40,7,4,1019
2019-06-11,16,3,822,65,38,7,3,1032
2019-06-12,14,2,825,79,40,7,3,1044
2019-06-13,18,3,725,78,33,8,3,1059
2019-06-14,15,3,804,68,35,8,3,1071
2019-06-15,17,3,1217,124,51,6,3,1085
2019-06-16,17,4,966,97,52,8,4,1098
2019-06-17,15,3,856,86,41,9,4,1110
2019-06-18,14,3,732,77,38,7,3,1121
2019-06-19,16,3,782,78,35,8,3,1134
2019-06-20,15,3,817,85,36,7,4,1146
2019-06-21,16,4,748,83,42,7,4,1158
2019-06-22,18,3,1156,117,61,8,4,1173
2019-06-23,15,3,1350,114,52,7,3,1185
2019-06-24,18,3,844,80,42,6,4,1200
2019-06-25,17,4,924,79,36,8,3,1213
2019-06-26,14,3,967,75,41,8,3,1224
2019-06-27,19,4,867,78,50,8,4,1239
2019-06-28,18,4,786,90,40,8,4,1253
2019-06-29,16,4,1333,111,60,8,3,1265
2019-06-30,17,4,1063,136,61,10,4,1278
2019-07-01,21,4,870,79,50,7,3,1295
2019-07-02,16,3,883,80,45,8,4,1308
2019-07-03,18,4,755,106,47,9,3,1322
2019-07-04,20,4,781,73,38,8,4,1338
2019-07-05,17,3,925,83,43,8,4,1352
2019-07-06,17,4,1373,106,58,7,3,1365
2019-07-07,18,4,1125,109,66,8,4,1379
2019-07-08,17,4,802,81,47,8,4,1392
2019-07-09,17,4,695,105,45,9,4,1405
2019-07-10,18,4,846,92,42,8,4,1419
2019-07-11,19,4,772,89,57,8,4,1434
2019-07-12,19,3,942,87,36,8,4,1450
2019-07-13,17,5,989,142,61,8,4,1462
2019-07-14,18,4,1345,121,63,7,4,1476
2019-07-15,20,3,792,90,41,9,4,1493
2019-07-16,21,4,879,81,43,9,4,1510
2019-07-17,21,5,933,89,43,9,4,1526
2019-07-18,17,4,886,101,45,9,5,1539
2019-07-19,16,4,752,100,42,7,5,1551
2019-07-20,21,4,1400,156,64,10,4,1568
2019-07-21,16,4,6411,132,350,40,20,1580
2019-07-22,19,3,920,101,41,7,3,1596
2019-07-23,20,5,809,97,45,11,4,1611
2019-07-24,19,4,928,86,42,9,4,1626
2019-07-25,21,4,739,84,52,8,4,1643
2019-07-26,18,4,885,94,50,10,4,1657
2019-07-27,20,5,1356,148,72,10,4,1672
2019-07-28,21,4,1156,165,81,8,5,1689
2019-07-29,24,4,745,94,59,8,3,1709
2019-07-30,20,4,772,83,44,9,4,1725
2019-07-31,15,6,960,109,49,8,5,1734
2019-08-01,20,5,919,88,45,9,4,1749
2019-08-02,18,5,929,94,47,9,5,1762
2019-08-03,23,4,1339,153,63,8,4,1781
2019-08-04,20,5,1284,169,82,9,5,1796
2019-08-05,19,4,956,104,50,8,4,1811
2019-08-06,18,4,753,93,52,8,5,1825
2019-08-07,22,4,958,121,55,9,5,1843
2019-08-08,20,5,900,99,41,10,5,1858
2019-08-09,21,4,878,105,51,11,4,1875
2019-08-10,21,5,1432,132,63,9,5,1891
2019-08-11,21,4,1321,144,79,9,5,1908
2019-08-12,22,5,890,91,53,8,4,1925
2019-08-13,22,6,970,112,49,9,5,1941
2019-08-14,20,5,958,88,52,8,5,1956
2019-08-15,24,5,882,103,54,12,5,1975
2019-08-16,15,5,958,101,52,11,3,1985
2019-08-17,18,5,1502,165,82,10,4,1998
2019-08-18,21,5,1449,175,75,11,5,2014
2019-08-19,23,5,721,95,52,10,5,2032
2019-08-20,23,4,902,109,55,8,5,2051
2019-08-21,21,5,870,106,49,11,5,2067
2019-08-22,25,5,890,115,53,9,5,2087
2019-08-23,19,4,854,106,62,11,3,2102
2019-08-24,22,5,1267,162,72,11,5,2119
2019-08-25,21,4,1488,154,79,11,5,2136
2019-08-26,22,4,1003,115,53,10,5,2154
2019-08-27,23,6,930,104,58,9,6,2171
2019-08-28,26,5,1171,99,47,10,4,2192
2019-08-29,20,5,1011,120,56,10,5,2207
2019-08-30,22,5,903,113,50,11,5,2224
2019-08-31,21,4,1268,175,72,12,5,2241
2019-09-01,23,5,1283,141,82,11,5,2259
2019-09-02,25,5,810,97,59,8,5,2279
2019-09-03,26,5,926,122,54,11,6,2300
2019-09-04,24,5,986,119,47,11,6,2319
2019-09-05,24,5,1168,109,55,11,5,2338
2019-09-06,26,4,899,89,60,10,6,2360
2019-09-07,24,6,1062,181,90,9,5,2378
2019-09-08,20,5,1504,171,82,12,5,2393
2019-09-09,23,5,839,90,56,11,6,2411
2019-09-10,29,6,951,114,56,12,7,2434
2019-09-11,25,6,881,120,60,10,7,2453
2019-09-12,23,5,903,114,64,12,6,2471
2019-09-13,28,5,889,123,57,13,5,2494
2019-09-14,24,6,1456,183,90,11,5,2512
2019-09-15,25,5,1281,169,96,12,5,2532
2019-09-16,27,5,883,124,62,11,5,2554
2019-09-17,24,5,1026,123,55,13,5,2573
2019-09-18,27,5,803,116,59,13,5,2595
2019-09-19,24,7,993,115,52,9,6,2612
2019-09-20,25,6,900,133,58,13,5,2631
2019-09-21,25,5,1573,186,85,12,6,2651
2019-09-22,20,6,1337,180,82,13,7,2665
2019-09-23,28,4,1092,114,58,10,6,2689
2019-09-24,23,6,958,125,75,12,6,2706
2019-09-25,26,4,843,113,67,14,5,2728
2019-09-26,23,5,1043,117,66,12,6,2746
2019-09-27,24,5,797,119,61,10,6,2765
2019-09-28,23,6,1404,196,84,11,6,2782
2019-09-29,26,6,1572,171,97,12,7,2802
2019-09-30,23,6,936,122,75,13,6,2819
2019-10-01,24,6,1004,123,61,10,6,2837
2019-10-02,24,5,1123,139,46,13,6,2856
2019-10-03,22,7,1004,118,66,12,5,2871
2019-10-04,23,6,1056,106,48,11,6,2888
2019-10-05,26,6,1464,208,91,12,6,2908
2019-10-06,25,5,1453,195,99,13,7,2928
2019-10-07,26,6,1186,144,60,12,6,2948
2019-10-08,29,6,873,135,68,11,6,2971
2019-10-09,26,7,1183,130,67,10,6,2990
2019-10-10,30,5,950,122,74,13,6,3015
2019-10-11,23,6,1142,123,62,12,6,3032
2019-10-12,27,5,1725,196,99,9,6,3054
2019-10-13,19,5,1707,148,93,11,7,3068
2019-10-14,22,7,990,144,69,11,6,3083
2019-10-15,32,7,1189,123,74,15,6,3108
2019-10-16,26,7,1092,153,59,13,5,3127
2019-10-17,29,6,956,137,71,10,6,3150
2019-10-18,22,7,994,109,62,13,7,3165
2019-10-19,25,6,1541,265,115,13,6,3184
2019-10-20,30,6,1599,169,84,12,7,3208
2019-10-21,26,6,977,115,67,13,6,3228
2019-10-22,27,7,1163,156,74,9,7,3248
2019-10-23,31,6,1074,135,62,13,7,3273
2019-10-24,27,6,1069,153,69,13,7,3294
2019-10-25,24,6,1165,148,64,12,7,3312
2019-10-26,28,6,1760,184,88,13,6,3334
2019-10-27,26,7,1857,228,93,12,6,3353
2019-10-28,31,7,983,130,91,16,7,3377
2019-10-29,28,7,1257,130,66,12,6,3398
2019-10-30,27,6,985,137,61,15,6,3419
2019-10-31,31,6,1388,160,61,15,7,3444
2019-11-01,30,7,1190,121,70,17,8,3467
2019-11-02,27,7,1834,187,84,15,7,3487
2019-11-03,28,7,1833,235,138,15,5,3508
2019-11-04,27,7,1181,151,62,13,7,3528
2019-11-05,28,6,968,128,70,11,8,3550
2019-11-06,26,6,1096,140,66,13,7,3570
2019-11-07,31,7,1358,147,76,14,6,3594
2019-11-08,26,7,879,141,68,15,7,3613
2019-11-09,26,6,1858,223,105,16,8,3633
2019-11-10,29,7,1568,238,82,12,6,3655
2019-11-11,28,6,1318,145,75,12,8,3677
2019-11-12,26,7,1271,127,84,16,7,3696
2019-11-13,29,7,1347,152,79,14,7,3718
2019-11-14,28,7,1431,160,70,14,6,3739
2019-11-15,25,8,1360,149,68,13,6,3756
2019-11-16,32,7,1955,252,106,12,7,3781
2019-11-17,26,8,1918,241,82,14,7,3799
2019-11-18,31,7,1298,156,63,14,8,3823
2019-11-19,31,7,1301,156,75,14,7,3847
2019-11-20,32,9,1162,157,78,14,6,3870
2019-11-21,34,7,1194,137,73,16,7,3897
2019-11-22,33,8,1466,149,68,13,7,3922
2019-11-23,28,6,1946,238,108,13,7,3944
2019-11-24,37,6,2061,240,85,13,8,3975
2019-11-25,27,8,1400,153,73,13,6,3994
2019-11-26,27,8,1529,155,75,14,7,4013
2019-11-27,29,6,1454,167,78,17,7,4036
2019-11-28,32,7,1223,180,80,15,6,4061
2019-11-29,35,7,1215,147,71,15,8,4089
2019-11-30,31,8,2294,193,102,14,6,4112
2019-12-01,31,8,2085,226,114,16,7,4135
2019-12-02,25,7,1476,158,84,15,7,4153
2019-12-03,28,7,1388,135,82,16,7,4174
2019-12-04,34,7,1374,172,66,14,8,4201
2019-12-05,28,7,1186,160,77,15,6,4222
2019-12-06,31,8,1444,158,74,16,7,4245
2019-12-07,28,7,1952,249,99,15,7,4266
2019-12-08,27,8,2023,252,139,15,7,4285
2019-12-09,39,7,1624,164,89,15,9,4317
2019-12-10,36,7,1399,141,85,15,6,4346
2019-12-11,32,8,1498,153,67,18,7,4370
2019-12-12,29,6,1281,161,72,16,8,4393
2019-12-13,30,6,1361,158,80,12,6,4417
2019-12-14,30,6,2022,229,129,15,6,4441
2019-12-15,35,7,2601,232,127,15,8,4469
2019-12-16,32,9,1443,150,85,15,8,4492
2019-12-17,34,6,1667,167,67,17,7,4520
2019-12-18,32,7,1506,162,81,16,8,4545
2019-12-19,38,8,1530,137,80,15,7,4575
2019-12-20,39,8,1701,170,75,17,8,4606
2019-12-21,31,6,2471,252,135,17,8,4631
2019-12-22,32,7,2439,253,129,15,6,4656
2019-12-23,35,8,1507,177,100,16,8,4683
2019-12-24,32,7,1595,169,77,17,8,4708
2019-12-25,31,9,1604,193,75,15,7,4730
2019-12-26,27,8,2094,175,85,17,7,4749
2019-12-27,33,8,1658,181,73,15,7,4774
2019-12-28,27,8,2610,256,121,16,7,4793
2019-12-29,33,7,2002,231,114,18,8,4819
2019-12-30,33,8,1749,173,100,15,8,4844
2019-12-31,38,8,1597,157,82,17,10,4874
2020-01-01,37,8,1624,160,86,18,8,4903
2020-01-02,35,7,1776,164,97,16,7,4931
2020-01-03,31,7,1637,181,82,16,10,4955
2020-01-04,37,8,2406,240,148,15,8,4984
2020-01-05,36,5,2397,261,136,20,8,5015
2020-01-06,34,8,1938,151,90,16,8,5041
2020-01-07,35,8,1817,158,72,18,9,5068
2020-01-08,34,8,1964,173,75,17,8,5094
2020-01-09,38,6,1499,164,85,18,6,5126
2020-01-10,38,6,1801,169,75,18,8,5158
2020-01-11,33,7,2739,246,126,16,9,5184
2020-01-12,35,9,2786,264,159,15,8,5210
2020-01-13,31,7,2015,168,100,15,7,5234
2020-01-14,35,8,1798,179,101,14,10,5261
2020-01-15,32,9,1797,196,78,16,7,5284
2020-01-16,30,8,2019,170,102,21,8,5306
2020-01-17,35,9,1975,163,80,16,9,5332
2020-01-18,37,7,2846,321,141,13,7,5362
2020-01-19,36,9,2337,271,115,17,8,5389
2020-01-20,37,8,1799,144,88,16,9,5418
2020-01-21,41,9,1686,181,69,17,7,5450
2020-01-22,32,8,1835,162,86,19,9,5474
2020-01-23,39,8,1950,167,81,17,8,5505
2020-01-24,41,9,2405,184,82,15,9,5537
2020-01-25,30,9,2813,252,150,15,8,5558
2020-01-26,34,9,2931,324,129,17,9,5583
2020-01-27,32,8,1546,192,89,15,8,5607
2020-01-28,36,9,1963,189,76,19,8,5634
2020-01-29,34,9,1811,186,90,16,10,5659
2020-01-30,37,10,1872,184,88,17,9,5686
2020-01-31,31,8,2220,178,91,16,9,5709
2020-02-01,43,7,2997,300,135,16,8,5745
2020-02-02,36,9,2887,261,168,17,9,5772
2020-02-03,41,7,1860,186,90,20,9,5806
2020-02-04,27,8,2429,229,92,19,9,5825
2020-02-05,40,10,1928,172,107,20,8,5855
2020-02-06,32,9,1954,192,77,17,9,5878
2020-02-07,36,8,1732,178,84,18,9,5906
2020-02-08,39,8,3210,270,141,17,8,5937
2020-02-09,37,10,2749,237,118,20,9,5964
2020-02-10,28,9,1988,192,94,18,8,5983
2020-02-11,37,8,2193,194,96,18,9,6012
2020-02-12,38,11,1972,193,108,19,10,6039
2020-02-13,37,9,2043,166,101,20,9,6067
2020-02-14,35,9,2203,157,90,14,8,6093
2020-02-15,34,8,3540,312,163,20,11,6119
2020-02-16,42,7,2631,207,145,18,8,6154
2020-02-17,42,8,2391,177,81,18,9,6188
2020-02-18,39,10,2095,158,88,19,11,6217
2020-02-19,44,7,2422,160,82,21,7,6254
2020-02-20,36,10,2040,184,104,21,10,6280
2020-02-21,44,9,2289,191,99,22,9,6315
2020-02-22,37,9,3502,279,129,19,9,6343
2020-02-23,39,9,2937,249,153,22,10,6373
2020-02-24,38,8,2187,189,99,20,10,6403
2020-02-25,40,9,2246,245,93,21,9,6434
2020-02-26,45,8,2252,191,103,21,9,6471
2020-02-27,41,9,2587,193,106,22,8,6503
2020-02-28,45,9,2484,213,94,18,9,6539
2020-02-29,44,8,3110,250,136,20,8,6575
2020-03-01,35,10,3733,283,124,18,9,6600
2020-03-02,38,10,2036,196,91,20,9,6628
2020-03-03,45,9,2251,185,115,19,10,6664
2020-03-04,40,10,2150,188,100,20,8,6694
2020-03-05,37,10,2390,202,100,20,10,6721
2020-03-06,41,9,2044,184,94,21,8,6753
2020-03-07,39,8,3921,282,157,19,9,6784
2020-03-08,37,10,2946,262,151,21,9,6811
2020-03-09,33,11,2568,200,97,19,10,6833
2020-03-10,39,9,2676,191,95,21,9,6863
2020-03-11,37,9,2424,219,98,20,9,6891
2020-03-12,47,9,2284,177,112,19,12,6929
2020-03-13,41,12,2328,224,101,17,9,6958
2020-03-14,38,9,3625,309,133,19,9,6987
2020-03-15,48,9,3289,265,153,20,8,7026
2020-03-16,47,10,2160,194,104,20,8,7063
2020-03-17,37,9,2172,212,103,19,10,7091
2020-03-18,42,10,1857,181,105,21,9,7123
2020-03-19,33,10,2751,200,115,23,10,7146
2020-03-20,38,10,2266,193,108,20,10,7174
2020-03-21,41,9,2965,280,165,20,10,7206
2020-03-22,36,12,3737,309,166,22,8,7230
2020-03-23,38,11,2611,176,111,20,11,7257
2020-03-24,45,11,2833,207,103,19,10,7291
2020-03-25,40,9,2364,213,84,21,9,7322
2020-03-26,48,10,2684,212,92,22,9,7360
2020-03-27,41,9,2064,186,95,24,10,7392
2020-03-28,39,9,3609,291,139,19,10,7422
2020-03-29,37,10,3834,319,192,23,9,7449
2020-03-30,41,8,2140,185,97,25,8,7482
2020-03-31,36,8,2141,174,91,23,9,7510
2020-04-01,35,11,2770,217,95,21,10,7534
2020-04-02,39,10,2595,199,108,18,8,7563
2020-04-03,47,9,2425,182,99,20,9,7601
2020-04-04,35,10,3712,325,157,19,9,7626
2020-04-05,36,11,3758,285,151,23,11,7651
2020-04-06,42,10,2534,197,121,18,10,7683
2020-04-07,45,13,2609,248,110,20,10,7715
2020-04-08,37,9,2543,167,105,24,10,7743
2020-04-09,48,11,2180,205,95,20,10,7780
2020-04-10,43,11,3012,208,95,21,9,7812
2020-04-11,40,9,4548,282,186,18,10,7843
2020-04-12,41,9,3831,303,159,18,10,7875
2020-04-13,42,10,2565,239,113,20,11,7907
2020-04-14,39,9,2720,201,130,19,9,7937
2020-04-15,45,10,2515,232,102,16,11,7972
2020-04-16,40,11,2311,201,98,19,11,8001
2020-04-17,42,10,2770,205,97,22,10,8033
2020-04-18,45,10,3383,355,159,22,8,8068
2020-04-19,47,10,3451,282,133,21,11,8105
2020-04-20,41,11,2444,223,103,21,11,8135
2020-04-21,46,10,2700,247,101,21,12,8171
2020-04-22,46,8,2871,174,117,20,10,8209
2020-04-23,35,9,2526,197,108,19,10,8235
2020-04-24,42,11,2687,260,111,23,10,8266
2020-04-25,36,8,4051,343,186,22,10,8294
2020-04-26,45,10,3876,378,180,22,11,8329
2020-04-27,45,13,2440,233,119,23,11,8361
2020-04-28,48,11,2386,236,109,16,10,8398
2020-04-29,44,11,2856,226,109,20,12,8431
2020-04-30,48,9,2896,225,138,27,11,8470
2020-05-01,46,9,3019,240,112,22,10,8507
2020-05-02,44,12,3448,360,177,21,11,8539
2020-05-03,45,8,3923,282,177,23,11,8576
2020-05-04,45,9,2411,238,108,20,10,8612
2020-05-05,49,10,2947,235,119,25,12,8651
2020-05-06,40,11,2611,216,102,26,11,8680
2020-05-07,44,10,2605,242,120,21,12,8714
2020-05-08,40,10,2422,223,124,22,9,8744
2020-05-09,45,9,4543,337,150,22,10,8780
2020-05-10,51,11,4086,364,163,24,12,8820
2020-05-11,48,9,2507,193,141,26,12,8859
2020-05-12,56,11,2575,202,107,19,10,8904
2020-05-13,49,12,2532,215,114,23,13,8941
2020-05-14,50,12,2949,181,109,23,13,8979
2020-05-15,43,9,2564,228,96,22,10,9013
2020-05-16,42,12,3764,297,160,23,14,9043
2020-05-17,41,12,3907,300,193,23,11,9072
2020-05-18,45,11,2574,254,107,26,12,9106
2020-05-19,46,11,2401,230,120,25,10,9141
2020-05-20,52,14,2580,241,124,22,11,9179
2020-05-21,45,11,2885,249,101,23,13,9213
2020-05-22,35,11,2169,240,111,22,11,9237
2020-05-23,50,13,4349,355,195,21,12,9274
2020-05-24,44,10,4141,304,184,22,12,9308
2020-05-25,33,11,2497,267,120,24,11,9330
2020-05-26,46,13,2759,214,125,24,11,9363
2020-05-27,44,10,2720,212,82,25,13,9397
2020-05-28,49,12,2568,249,98,21,11,9434
2020-05-29,49,10,2974,221,106,24,12,9473
2020-05-30,52,9,4033,316,175,23,11,9516
2020-05-31,50,12,4409,339,181,26,11,9554
2020-06-01,58,10,2466,270,138,25,10,9602
2020-06-02,50,12,2293,235,111,23,12,9640
2020-06-03,53,11,2464,250,121,21,12,9682
2020-06-04,56,12,2418,239,119,22,10,9726
2020-06-05,38,13,2563,264,128,25,13,9751
2020-06-06,53,10,3539,369,183,21,10,9794
2020-06-07,50,11,3603,336,198,21,12,9833
2020-06-08,40,11,2076,244,139,23,11,9862
2020-06-09,48,13,2670,220,106,28,11,9897
2020-06-10,45,11,2354,238,121,24,12,9931
2020-06-11,55,11,2589,285,117,25,11,9975
2020-06-12,49,11,2271,223,122,24,12,10013
2020-06-13,43,11,3350,418,207,27,13,10045
2020-06-14,47,12,4967,370,165,26,11,10080
2020-06-15,43,9,2654,235,124,25,12,10114
2020-06-16,53,12,2410,245,130,21,14,10155
2020-06-17,42,12,2967,228,122,23,13,10185
2020-06-18,43,11,2387,256,120,25,10,10217
2020-06-19,41,12,2693,236,140,23,9,10246
2020-06-20,52,11,4427,385,189,23,12,10287
2020-06-21,42,14,4382,414,189,22,11,10315
2020-06-22,45,10,2475,242,128,23,12,10350
2020-06-23,43,12,2580,229,107,28,10,10381
2020-06-24,52,12,2691,263,118,22,11,10421
2020-06-25,49,12,2504,235,146,22,11,10458
2020-06-26,54,12,2438,227,120,23,11,10500
2020-06-27,45,12,3594,406,163,25,14,10533
2020-06-28,40,11,3421,375,181,24,11,10562
2020-06-29,43,12,2305,233,125,27,11,10593
2020-06-30,50,13,2359,280,121,24,10,10630
2020-07-01,48,12,2857,282,108,25,10,10666
2020-07-02,53,12,2695,234,135,26,12,10707
2020-07-03,54,9,2101,282,156,24,12,10752
2020-07-04,55,12,3571,318,187,23,12,10795
2020-07-05,52,13,3308,399,204,23,10,10834
2020-07-06,61,13,2620,235,124,24,11,10882
2020-07-07,50,15,2745,269,126,26,10,10917
2020-07-08,57,10,2367,284,133,26,12,10964
2020-07-09,49,14,2354,270,107,28,10,10999
2020-07-10,52,14,2096,277,114,22,13,11037
2020-07-11,56,13,3923,369,190,27,13,11080
2020-07-12,47,12,3801,369,228,30,13,11115
2020-07-13,47,12,2971,248,134,26,14,11150
2020-07-14,63,12,2192,261,156,25,11,11201
2020-07-15,46,13,2824,271,110,22,12,11234
2020-07-16,54,15,2504,221,131,32,11,11273
2020-07-17,46,11,2344,261,116,24,13,11308
2020-07-18,52,12,3367,319,186,27,13,11348
2020-07-19,52,13,4238,391,180,24,15,11387
2020-07-20,54,11,2197,268,117,30,15,11430
2020-07-21,55,12,2182,267,110,29,12,11473
2020-07-22,56,12,2842,299,120,26,14,11517
